Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,"3,0198016592","2,3386693159","-3,4054139173","7,668926369","-1,3910209783","-0,4372517473","-4,7818174584","6,2538824205","-1,6547915398","3,0006146402","-6,6328466479","-15,1776587564","0,7142285988","6,8832649795","-6,3383917778","3,3376782912","0,3634276791","4,5715414745","2,3698120152","-1,6092860991","4,4644748014","-0,6342625738","1,0398448121","2,0147013365","0,7305904092","1,7218512648","1,4814323556","0,223515735","0,674980729","3,400369596","1,500470719","3,5197285481","2,7297061349","1,9167072997","3,1771855032","2,7062498167","2,6384871515","3,2221498588","2,6847171048","3,3059009346","3,1004366918","1,9216894198","2,926134543","3,50574324","4,9309682028","5,388330721","5,939181512","5,0767302464","4,1246858123","4,3734846638","5,1745208767","5,2049911186","4,6787219182","4,7477792265","5,2910608077","5,8032103971","5,2664551128","6,0802377688","6,6876627269","2,2711012941","5,7166490872","5,9548448413","4,6938743087"
Bulgaria,BGR,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,"4,5511442295","2,0322941641","3,1725208819","3,1548073658","2,6849533955","4,2352412683","5,8986124944","10,8200908465","-2,1516907052","-7,4632076537","-7,5340688492","-6,2712638648","-0,6912135577","2,1643588682","3,3211867662","5,7493699987","-13,5909226506","4,4840249507","-7,8810745183","5,1050571444","5,911159906","8,1952148308","6,0740623589","7,3174048139","7,8655023126","7,6168498514","7,4414886032","6,8771268799","-2,7224155764","2,2260786772","2,7469107653","1,3340660004","0,0154188467","1,5248681108","4,0594114079","3,7517787846","3,4991755486","3,4391300632","4,7700819526","-3,3879876659","8,5426099919","10,5597165402","2,3964076105"
Bahrein,BHR,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,"-2,1040656023","5,5212628514","7,9360151613","2,862771762","-13,4676509242","23,9847489525","7,5365962772","-1,0262057857","-1,2416536113","-1,9173593492","-9,0382531242","-10,7684403775","2,761484804","1,3855254365","-8,0818349622","-2,3728265416","6,5257625529","3,2870463133","-3,0483959833","0,9927127569","7,4912049695","3,0234737235","9,0762304435","-3,5285722503","0,5930217678","0,8486090818","-0,0483967911","1,6982735499","1,3390208253","2,4421574606","-0,14972112","0,8533771002","2,2082433637","-0,1038159793","-1,3364495952","-1,1053530223","1,0554005157","-0,4349704986","-3,468434461","1,3948907319","2,1154456988","2,6389513944","2,3475958827","0,413894139","-0,9888552999","-0,0145263193","0,4502321884","0,1914576335","1,6987241435","-3,5655986054","3,5862590019","4,2525612796","1,5655880648"
Bahamas,BHS,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,"5,4051262326","5,127225789","5,2461251386","5,6080799213","5,8027077089","4,4055417997","4,8358400258","3,6650090103","4,383165726","-9,012213021","-1,2971784959","-5,9183065568","5,1323870655","-18,5238125798","-16,5392973149","3,0339760453","6,8539727203","11,7994525656","23,6041618541","4,4363122153","-10,9004658331","4,7591016212","1,6664245202","12,0029165315","2,7964057641","-0,1792425522","1,045033564","0,4108352129","4,7008640567","-3,4815887412","-6,0488063667","-5,8430509225","-1,8472357779","1,1024065625","2,442430954","2,3850334799","-0,4227395591","2,9813572838","5,5135512439","2,6288792128","1,1901062351","1,3593448781","-2,5740337961","-0,4699227058","1,9943966542","1,1038292524","0,0273645789","-3,7045436424","-5,5454030809","0,1200612394","-0,6321485198","1,8896393951","-3,7672988413","0,9361786758","0,0796279954","-1,7820238877","2,0152929496","1,8929268334","-2,0036559279","-21,7934660715","14,9971644299","10,2205156211","1,9826105845"
Bosnia y Herzegovina,BIH,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-9,5106288608","-1,4771379761","6,0735881859","16,4680473014","16,3332560318","47,9952634285","31,9152048023","14,70885269","8,5206365996","4,7500520273","2,0428636041","4,9404385431","4,2309183322","7,3748754749","5,1295162044","6,3546308723","7,1832867108","7,1680927869","-1,3625291675","2,6299704898","2,7921414149","1,0343392851","3,957296129","2,4707522799","5,6983035145","4,5276131121","4,4733864067","5,0458381459","4,0941157503","-1,7787038867","8,948276616","5,4328797383","2,3943875772"
Belarús,BLR,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,2455670756","-9,7983837028","-7,803770018","-11,5955750535","-10,1088528351","3,1466860429","11,8639522547","8,8893644285","3,8663787325","6,2996363684","5,263892187","5,7160824362","7,7949178651","12,2126182738","10,149767238","10,6755867082","9,0994600416","10,581305025","0,4467057351","8,0340881466","5,6258812411","1,8465202655","1,0422433439","1,6691051621","-3,9573436434","-2,6112993179","2,6442470876","3,3704343701","1,6511181958","-0,2513865761","3,2908215059","-3,888387839","4,4496069351"
Belice,BLZ,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,"2,2586987068","2,2416558247","2,1175931333","1,997584087","1,8618345897","1,6450358123","1,7594484848","4,1749615102","2,1527740097","2,4151601048","2,1132026223","8,4881830078","3,8398089942","12,0193058519","1,8654985802","-2,033774928","4,3757806488","5,7846536388","5,3260920297","10,8495691387","-1,3346806963","-2,4967254834","-4,428238587","-0,3697280665","-1,2835621597","2,1915694465","8,2813559086","7,3780175983","10,5567196076","7,1399314423","9,4569503446","10,4631194862","4,0181564725","-2,1559803151","-1,8120179564","-1,9224564419","0,7410379159","0,2945270014","5,7436706572","8,6582482335","1,7375355875","2,1517100058","6,3374420829","1,6502756254","-0,7875040999","1,4875517165","0,3618985504","-4,2759325265","-3,1440316004","-1,2540677684","-2,5467353026","1,3485358262","2,1261192556","1,7480101607","1,0638648526","-2,0368758138","-3,7472613386","-0,894543697","2,3532072734","-15,004348571","16,3568717504","7,3281532866","3,1285738894"
Bermudas,BMU,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,"2,1492747242","2,003969956","-1,2607547166","8,383374234","2,2507784435","12,3454545463","11,0966735966","0,1787487591","1,5209367413","4,37934159","4,1952838835","2,5640739795","2,2382050238","1,632827387","4,5512715316","8,5290040763","5,5008162857","1,0742293379","1,7682391253","6,2261418972","1,6742355439","-5,966959638","1,1316481384","-0,3965629907","-2,8215859211","5,7669652493","2,9124531114","3,1680901188","-0,399432874","-0,7984615384","-3,0358813385","0,6668519643","2,4577659244","-0,0956975146","3,6547631462","1,9469474793","3,9637246585","3,1396272862","2,8057217479","8,3483242062","6,0713691378","-2,116731681","2,7362712745","1,6550713353","1,018079897","4,9402725194","2,7638153346","-2,4447802562","-6,1486294055","-1,7363632364","-2,9078508291","-5,6472627477","-0,5911378952","-3,9036061079","0,6225984268","0,3938691999","4,7161022053","-0,5028993","0,3172530109","-6,8166253226","5,6323666433","6,7139685218",
Bolivia,BOL,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,"0,0061288217","3,4096010738","4,5892856985","1,7961057127","2,7201183005","4,9131592003","4,0597227947","6,2056749271","2,2186379423","2,9455548126","2,7646690052","5,5905493803","3,4000759404","0,6499687179","4,9250639685","2,2890457273","2,6314015834","-0,2207414477","-2,084218351","-3,5332385594","-1,8948079765","-5,9931353518","-6,0724283287","-2,2967000068","-3,7351153856","-4,6107406545","0,3185057127","0,7521420463","1,6234563685","2,4674115745","3,1059949611","-0,4089706211","2,1952400383","2,6370630791","2,7059284638","2,4294460927","3,0421419143","3,1369975479","-1,3834292334","0,675361125","-0,0999868429","0,7065904257","0,933272881","2,3772083784","2,6274119485","2,9819677147","2,7501866803","4,3281711363","1,6014564554","2,375335576","3,4536737733","3,3971964399","5,0697954245","3,7831870593","3,2205388234","2,6630742135","2,6233033356","2,6847973392","0,7376971552","-9,9524048446","4,8524748893","2,3797982635","1,0835123366"
Brasil,BRA,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,"5,3743035445","3,482729076","-2,3158716623","0,4496441854","-0,4569000519","3,8103959181","1,465603109","7,0017205073","6,7728378356","7,6855403455","8,6413561945","9,2543986268","11,2505080257","5,606682803","2,7158588467","7,6950603359","2,4906635458","2,5185062579","4,2722421638","6,6629974787","-6,4528708662","-1,4509340754","-5,0883463941","3,108082048","5,5678365114","5,2883899717","1,4785966673","-1,9780448679","1,2436115724","-6,0655556687","-0,7006962759","-2,179979806","3,2425632722","4,182955815","2,6080900058","0,6565021629","1,8553430249","-1,1244424257","-0,9488459226","2,9709107811","0,0596489437","1,7602427786","-0,0512856665","4,5617819575","2,0555715015","2,8479620077","4,98082992","4,0617221662","-1,0732383327","6,5228161792","3,0133962726","1,0076540328","2,1142564519","-0,3545148023","-4,3583171794","-4,0574230024","0,5232965886","0,9789384927","0,4482804071","-3,9180041715","4,2103002535","2,5443328538","2,3811777243"
